datetime,AMB_TEMP,CO,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,WIND_SPEED,WS_HR
2016/1/2 8:00,0.471830988,0.228915664,0.039130434,0.182926829,0.11403509,0.215358932,0.154506438,0.131578947,0,0.790697674,0.147619043,0.285714286,0.333333333
2016/1/2 9:00,0.507042255,0.228915664,0.049999999,0.214634151,0.135338346,0.282136895,0.141630901,0.116541353,0,0.709302326,0.214285714,0.428571429,0.333333333
2016/1/2 10:00,0.542253523,0.361445805,0.121739128,0.43902439,0.298245614,0.232053422,0.154506438,0.146616541,0,0.651162791,0.476190476,0.428571429,0.333333333
2016/1/2 11:00,0.57746479,0.337349406,0.121739128,0.414634146,0.285714286,0.265442404,0.152360515,0.15037594,0,0.639534884,0.476190476,0.428571429,0.166666667
2016/1/2 12:00,0.57746479,0.283132535,0.06304348,0.292682927,0.172932331,0.332220367,0.158798283,0.180451128,0,0.651162791,0.276190485,0.285714286,0.166666667
2016/1/2 13:00,0.542253523,0.325301224,0.039130434,0.341463415,0.197994987,0.29048414,0.150214592,0.172932331,0,0.709302326,0.304761909,0.285714286,0.166666667
2016/1/2 14:00,0.507042255,0.277108444,0.028260869,0.292682927,0.160401002,0.29048414,0.167381974,0.19924812,0,0.790697674,0.18571429,0.285714286,0.166666667
2016/1/2 15:00,0.471830988,0.259036154,0.028260869,0.268292683,0.160401002,0.282136895,0.180257511,0.206766917,0,0.837209302,0.180952379,0.285714286,0.166666667
2016/1/2 16:00,0.471830988,0.391566259,0.028260869,0.365853659,0.210526316,0.240400668,0.197424893,0.191729323,0,0.848837209,0.257142862,0.285714286,0.166666667
2016/1/2 17:00,0.471830988,0.445783147,0.026086958,0.463414634,0.260651629,0.190317195,0.201716738,0.176691729,0,0.860465116,0.361904757,0.285714286,0.166666667
2016/1/2 18:00,0.471830988,0.259036154,0.02173913,0.390243902,0.210526316,0.232053422,0.199570815,0.195488722,0,0.860465116,0.571428571,0.285714286,0.166666667
2016/1/2 19:00,0.471830988,0.228915664,0.023913044,0.204878039,0.116541353,0.273789649,0.180257511,0.210526316,0,0.860465116,0.176190478,0.142857143,0.166666667
2016/1/2 20:00,0.471830988,0.228915664,0.02173913,0.209756107,0.117794491,0.265442404,0.19527897,0.195488722,0,0.872093023,0.209523814,0.142857143,0.166666667
2016/1/2 21:00,0.471830988,0.216867483,0.019565217,0.146341463,0.083959901,0.298831386,0.184549356,0.169172932,0,0.88372093,0.142857143,0.285714286,0.166666667
2016/1/2 22:00,0.471830988,0.216867483,0.02173913,0.158536585,0.090225565,0.265442404,0.186695279,0.172932331,0,0.88372093,0.19047619,0.142857143,0.166666667
2016/1/2 23:00,0.471830988,0.234939755,0.023913044,0.136585364,0.081453632,0.273789649,0.14806867,0.169172932,0.006666667,0.895348837,0.19047619,0.285714286,0.166666667
2016/1/3 0:00,0.43661972,0.277108444,0.023913044,0.141463419,0.082706769,0.240400668,0.139484979,0.139097744,0.013333334,0.918604651,0.152380955,0.142857143,0.333333333
2016/1/3 1:00,0.43661972,0.259036154,0.020652174,0.158536585,0.090225565,0.215358932,0.124463519,0.116541353,,0.918604651,0.133333337,0.285714286,0.166666667
2016/1/3 2:00,0.43661972,0.240963864,0.017391305,0.175609751,0.097744361,0.190317195,0.105150215,0.086466165,0,0.918604651,0.114285719,0.285714286,0.166666667
2016/1/3 3:00,0.43661972,0.277108444,0.028260869,0.268292683,0.147869674,0.190317195,0.090128755,0.078947368,0,0.918604651,0.157142855,0.285714286,0.333333333
2016/1/3 4:00,0.43661972,0.198795193,0.028260869,0.221951229,0.122807018,0.190317195,0.10944206,0.063909774,0,0.918604651,0.080952383,0.285714286,0.333333333
2016/1/3 5:00,0.43661972,0.259036154,0.028260869,0.241463405,0.135338346,0.173622704,0.126609442,0.093984962,0.040000002,0.918604651,0.085714283,0.285714286,0.166666667
2016/1/3 6:00,0.43661972,0.271084336,0.026086958,0.317073171,0.185463659,0.140233723,0.135193133,0.105263158,0.073333335,0.918604651,0.099999995,0.285714286,0.333333333
2016/1/3 7:00,0.43661972,0.204819283,0.036956523,0.365853659,0.210526316,0.140233723,0.100858369,0.105263158,0.013333334,0.918604651,0.114285719,0.285714286,0.166666667
2016/1/3 8:00,0.471830988,0.198795193,0.052173915,0.292682927,0.172932331,0.173622704,0.079399142,0.086466165,0,0.906976744,0.095238095,0.285714286,0.166666667
2016/1/3 9:00,0.507042255,0.192771084,0.056521737,0.268292683,0.172932331,0.18196995,0.057939914,0.078947368,0.006666667,0.895348837,0.076190477,0.285714286,0.166666667
2016/1/3 10:00,0.507042255,0.210843374,0.052173915,0.268292683,0.160401002,0.165275459,0.055793991,0.067669173,0.066666667,0.88372093,0.085714283,0.142857143,0.166666667
2016/1/3 11:00,0.471830988,0.246987955,0.073913046,0.390243902,0.235588972,0.140233723,0.066523605,0.056390977,0.113333337,0.918604651,0.085714283,0.285714286,0.166666667
2016/1/3 12:00,0.507042255,0.228915664,0.067391302,0.317073171,0.210526316,0.156928214,0.075107296,0.060150376,0.040000002,0.918604651,0.071428571,0.285714286,0.333333333
2016/1/3 13:00,0.507042255,0.216867483,0.060869564,0.317073171,0.185463659,0.190317195,0.072961373,0.060150376,0.006666667,0.895348837,0.080952383,0.285714286,0.166666667
2016/1/3 14:00,0.507042255,0.240963864,0.065217391,0.365853659,0.223057644,0.165275459,0.06223176,0.071428571,0,0.895348837,0.099999995,0.285714286,0.166666667
2016/1/3 15:00,0.507042255,0.259036154,0.093478265,0.536585366,0.323308271,0.123539232,0.064377682,0.071428571,0.026666667,0.906976744,0.242857138,0.285714286,0.166666667
2016/1/3 16:00,0.507042255,0.228915664,0.056521737,0.463414634,0.273182957,0.140233723,0.064377682,0.07518797,0.086666663,0.918604651,0.180952379,0.142857143,0.166666667
2016/1/3 17:00,0.471830988,0.216867483,0.034782609,0.512195122,0.273182957,0.123539232,0.068669528,0.093984962,0.133333333,0.930232558,0.157142855,0.285714286,0.166666667
2016/1/3 18:00,0.471830988,0.259036154,0.026086958,0.43902439,0.235588972,0.131886477,0.072961373,0.086466165,0.026666667,0.930232558,0.114285719,0.142857143,0.166666667
2016/1/3 19:00,0.471830988,0.367469896,0.026086958,0.414634146,0.223057644,0.123539232,0.092274678,0.105263158,0.046666666,0.941860465,0.109523807,0.285714286,0.166666667
2016/1/3 20:00,0.471830988,0.228915664,0.028260869,0.317073171,0.185463659,0.173622704,0.092274678,0.090225564,0.013333334,0.941860465,0.099999995,0.285714286,0.166666667
2016/1/3 21:00,0.471830988,0.253012045,0.028260869,0.268292683,0.147869674,0.173622704,0.087982833,0.105263158,0.046666666,0.941860465,0.090476189,0.142857143,0.333333333
2016/1/3 22:00,0.471830988,0.271084336,0.026086958,0.317073171,0.172932331,0.115191987,0.072961373,0.097744361,0,0.941860465,0.080952383,0.142857143,0.166666667
2016/1/3 23:00,0.471830988,0.265060245,0.030434782,0.365853659,0.210526316,0.065108514,0.090128755,0.090225564,0,0.941860465,0.085714283,0.142857143,0.166666667
2016/1/4 0:00,0.471830988,0.271084336,0.039130434,0.414634146,0.235588972,0.032554256,0.081545064,0.07518797,0,0.941860465,0.02857143,0.142857143,0.166666667
2016/1/4 1:00,0.471830988,0.331325315,0.039130434,0.463414634,0.260651629,0.020033388,0.079399142,0.041353383,0.006666667,0.941860465,0.228571438,0.142857143,0.166666667
2016/1/4 2:00,0.471830988,0.259036154,0.043478261,0.414634146,0.235588972,0.035058431,0.079399142,0.033834586,0,0.941860465,0.204761914,0.285714286,0.166666667
2016/1/4 3:00,0.471830988,0.253012045,0.065217391,0.512195122,0.298245614,0.030884809,0.103004292,0.033834586,0,0.941860465,0.176190478,0.285714286,0.166666667
2016/1/4 4:00,0.471830988,0.319277098,0.023913044,0.463414634,0.248120301,0.041736225,0.118025751,0.04887218,0,0.941860465,0.119047619,0.285714286,0.333333333
2016/1/4 5:00,0.471830988,0.283132535,0.082608695,0.56097561,0.335839599,0.014190317,0.111587983,0.060150376,0,0.941860465,0.138095243,0.285714286,0.166666667
2016/1/4 6:00,0.471830988,0.277108444,0.1673913,0.536585366,0.373433584,0.015025042,0.103004292,0.04887218,0,0.941860465,0.133333331,0.142857143,0.166666667
2016/1/4 7:00,0.471830988,0.307228916,0.171739133,0.463414634,0.335839599,0.05342237,0.096566524,0.041353383,0,0.941860465,0.176190478,0.285714286,0.166666667
