,AMB_TEMP,RH,RAINFALL,WIND_SPEED
count,87672.0,87672.0,87672.0,87672.0
mean,1.67589274878e-14,-2.27811969895e-13,-2.2273008837e-13,-6.32440739274e-14
std,0.999999999999,1.0,0.999999999999,1.0
min,-3.9433146817,-6.89657707165,-0.109117789913,-1.56970953249
25%,-0.751136593937,-0.704240044893,-0.109117789913,-0.79066670153
50%,0.173929439559,0.169188190932,-0.109117789913,-0.211648431596
75%,0.69953507206,0.791359793973,-0.109117789913,0.598977196516
max,2.45155384706,2.14981253262,52.6178808675,7.36822780946
