LR,MLP,RT,datetime
3.67395221381,3.46140556106,3.15925668121,2016-06-01 00:00:00
4.07572913689,4.23891375358,4.1545657615,2016-06-02 00:00:00
4.10954282014,4.40923986,3.92423176015,2016-06-03 00:00:00
2.35412178567,2.2638948253,3.11600557457,2016-06-04 00:00:00
3.36166284532,2.51588979157,2.34488706985,2016-06-05 00:00:00
3.40828464597,2.97402804519,2.86824891734,2016-06-06 00:00:00
3.28438547305,3.01852716143,3.12954114492,2016-06-07 00:00:00
1.81025822143,1.91703190303,2.71207007175,2016-06-08 00:00:00
3.53405657222,3.47067409848,3.65656717962,2016-06-09 00:00:00
3.35810023869,3.02094506022,3.38507754712,2016-06-10 00:00:00
3.54604731434,3.21961453965,4.24473530126,2016-06-11 00:00:00
3.46553813317,3.19542681002,3.0532996723,2016-06-12 00:00:00
3.78860818959,3.36277496873,3.62555870535,2016-06-13 00:00:00
3.7364175793,3.78728829817,3.4772824239,2016-06-14 00:00:00
1.97273053913,1.86588860151,2.78089547262,2016-06-15 00:00:00
2.81028420962,2.99643302075,3.01113481438,2016-06-16 00:00:00
3.167682023,3.65653681243,4.05367631498,2016-06-17 00:00:00
3.70122036998,3.79086469621,4.02233348526,2016-06-18 00:00:00
3.9685695466,4.10525331904,4.86579258703,2016-06-19 00:00:00
3.92629539596,4.17876892599,4.77515270262,2016-06-20 00:00:00
4.89480211925,5.11782076079,5.81784053739,2016-06-21 00:00:00
2.78124035185,3.05302841001,3.70594297179,2016-06-22 00:00:00
4.74020400956,4.59750644998,4.82830946999,2016-06-23 00:00:00
4.26008571836,4.22277345314,4.22577518639,2016-06-24 00:00:00
4.33598801068,3.98161244841,3.87787378503,2016-06-25 00:00:00
8.43384819855,9.97670952716,10.1101480005,2016-06-26 00:00:00
4.44553234003,5.15106413242,5.29860656036,2016-06-27 00:00:00
4.17718900633,4.19225987779,4.86501351298,2016-06-28 00:00:00
5.02143022481,4.75323707598,5.2208460805,2016-06-29 00:00:00
29.4901112245,33.3544172301,34.5629803312,2016-06-30 00:00:00
8.70750953658,9.87519619882,3.17698610963,2016-07-01 00:00:00
4.17742577443,3.93910956865,4.00960940649,2016-07-02 00:00:00
6.9646386575,6.75377288675,6.85359546759,2016-07-03 00:00:00
