datetime,station,AMB_TEMP,CO,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2010-01-01 00:00:00,二林,13.01,.4,.78,12.1,12.88,26.5,120,58,0.0,74.03,3.6,51,40.45,2.9,1.61
2010-01-01 01:00:00,二林,12.87,.35,.88,10.43,11.31,27.2,120,55,0.0,74.85,2.6,40.95,46.21,2.16,2.38
2010-01-01 02:00:00,二林,12.57,.33,.95,9.65,10.6,25.9,96,49,0.0,76.05,3.1,44.47,40.48,2.3,1.4
2010-01-01 03:00:00,二林,12.58,.33,1.18,9.67,10.85,24.4,91,40,0.0,77.03,2.5,42.47,137.73,2.25,1.55
2010-01-01 04:00:00,二林,12.7,.33,.82,10.71,11.52,21.2,73,34,0.0,77.39,3,42.71,44.47,2.16,.9
2010-01-01 05:00:00,二林,12.86,.33,.82,12.9,13.72,20.5,76,41,0.0,77.1,3.1,55.24,48.16,2.43,.86
2010-01-01 06:00:00,二林,13.19,.33,1.11,18.89,20,17.2,75,41,0.0,75.15,3.4,44.14,48.11,2.53,2.37
2010-01-01 07:00:00,二林,13.52,.33,1.68,14.91,16.59,20.6,69,41,0.0,73.93,3.6,46.48,291.76,2.6,1.29
2010-01-01 08:00:00,二林,14.45,.34,3.89,16.08,19.97,20.3,73,34,0.0,72.27,4.1,45.03,43.12,3.22,.99
2010-01-01 09:00:00,二林,16,.35,5.48,15.54,21.02,20.9,66,29,0.0,69.02,4.6,45.76,48.64,2.33,3.05
2010-01-01 10:00:00,二林,17.25,.37,9.64,17.6,27.24,19.4,65,32,0.0,66.82,5.4,44.73,331.49,1.55,1.14
2010-01-01 11:00:00,二林,18.55,.33,4.65,14.04,18.68,26.7,60,35,0.0,63.67,3.7,302.34,302.9,2.85,1.71
2010-01-01 12:00:00,二林,18.97,.32,3.88,13.74,17.62,30.5,65,41,0.0,64.69,4.6,326.71,34.81,2.2,1.31
2010-01-01 13:00:00,二林,19.75,.33,2.83,12.65,15.48,39.1,71,40,0.0,63.63,3.2,331.87,314.94,1.44,.9
2010-01-01 14:00:00,二林,19.9,.36,2.01,12.91,14.92,41.2,75,40,0.0,64.78,3.7,328.04,312.96,1.51,.91
2010-01-01 15:00:00,二林,19.3,.39,2.21,21.53,23.74,34,81,45,0.0,66.65,8.2,314.51,314.96,2.41,1.34
2010-01-01 16:00:00,二林,18.41,.32,1.62,18.6,20.22,36.5,81,42,0.0,69.34,7.3,283.56,78.63,2.37,.11
2010-01-01 17:00:00,二林,17.84,.3,.7,11.79,12.49,39.1,79,37,0.0,72.95,3.2,318.73,301.53,1.79,.55
2010-01-01 18:00:00,二林,17.58,.26,.79,13.43,14.22,33.2,76,23,0.0,76.59,3.6,301.17,153.67,2.59,.6
2010-01-01 19:00:00,二林,17.56,.21,.77,7.63,8.4,38.8,69,28,0.0,77.25,2.3,285.89,286.32,2.25,.38
2010-01-01 20:00:00,二林,17.47,.19,.71,6.44,7.15,37.6,61,23,0.0,77.44,1.6,52.09,41.98,2.21,1.02
2010-01-01 21:00:00,二林,17.34,.22,.94,7.19,8.13,33.1,54,24,0.0,79.15,1,41.43,42.8,1.96,1.79
2010-01-01 22:00:00,二林,17.01,.24,1,10.27,11.27,25.7,61,25,0.0,81.49,1.6,32.81,330.31,1.46,1.05
2010-01-01 23:00:00,二林,16.56,.25,1.09,11.78,12.86,20.4,63,32,0.0,83.12,1.6,3.55,310.32,1.24,.54
2010-01-02 00:00:00,二林,16,.27,.92,11.77,12.68,18.1,69,33,0.0,84.71,1,327.05,316.25,1.41,1.02
2010-01-02 01:00:00,二林,16.25,.25,.85,10.69,11.54,22.6,64,31,0.0,85.89,1,322.83,66.3,2.37,.54
2010-01-02 02:00:00,二林,16.48,.24,.85,6.38,7.23,27.9,63,30,0.0,86.25,.8,44.66,42.15,2.19,1.57
2010-01-02 03:00:00,二林,16.13,.22,1.79,7.49,9.28,21.5,53,29,0.0,86.51,.7,53.99,62.4,1.43,2.02
2010-01-02 04:00:00,二林,15.64,.21,1.75,6.97,8.72,16.8,50,22,0.0,86.98,.5,267.2,259.94,1.18,.18
2010-01-02 05:00:00,二林,15.4,.23,1.88,6.8,8.68,16.4,44,27,0.0,87.44,.4,311.01,317.85,1.24,1.03
2010-01-02 06:00:00,二林,15.55,.26,1.75,7.63,9.38,16.3,47,33,0.0,87.75,.7,343.68,42.45,1.58,.78
2010-01-02 07:00:00,二林,16.1,.31,2.36,9.71,12.07,15.4,52,35,0.0,88.13,.7,31.36,41.41,1.59,.49
2010-01-02 08:00:00,二林,17.18,.31,3.49,10.53,14.02,18.9,62,34,0.0,88.15,1.3,42.27,47.81,3.21,2.2
2010-01-02 09:00:00,二林,18.1,.37,4.89,14.4,19.29,19.9,69,40,0.0,86.42,2.5,65.29,68.14,2.4,2.55
2010-01-02 10:00:00,二林,19.59,.41,6.41,17.58,23.99,24.2,70,43,0.0,79,3.3,50.24,44.67,2.05,1.7
2010-01-02 11:00:00,二林,20.53,.41,4.89,16.88,21.77,29.9,70,49,0.0,70.36,3.2,26.07,37.16,2.12,.93
2010-01-02 12:00:00,二林,20.78,.36,5.31,15.92,21.23,30.1,80,48,0.0,71.56,3.5,312,308.23,2.84,1.85
2010-01-02 13:00:00,二林,20.51,.29,3.49,8.48,11.98,39.6,84,52,0.0,72.44,2.2,311.44,310,2.21,2.3
2010-01-02 14:00:00,二林,20.56,.31,2.26,7.63,9.89,43.6,87,48,0.0,71.63,2.4,358.14,27.85,2.82,.93
2010-01-02 15:00:00,二林,19.93,.34,2.49,9.39,11.87,39.6,77,51,0.0,74.48,1.8,50.52,38.9,2.37,.96
2010-01-02 16:00:00,二林,19.26,.37,1.87,14.8,16.66,28.5,85,57,0.0,77.48,2.9,42.93,44.82,3.03,.43
2010-01-02 17:00:00,二林,18.33,.39,1.9,16.44,18.34,25.1,91,64,0.0,81.46,2.6,60.8,50.97,3.52,1.28
2010-01-02 18:00:00,二林,17.91,.35,1.7,12.87,14.57,28.1,85,64,0.0,82.3,2.4,128.03,90.04,4.71,.43
2010-01-02 19:00:00,二林,17.46,.27,1.84,5.78,7.62,35.4,62,53,.6,83.62,.7,97.78,74.12,4.43,1.27
2010-01-02 20:00:00,二林,17.05,.27,1.7,7.8,9.49,32.6,37,36,.2,85.26,.6,53.34,45.9,3.62,2.54
2010-01-02 21:00:00,二林,16.8,.26,1.81,6.48,8.29,31.7,16,24,0.0,85.48,.4,46.63,41.44,3.39,3.27
2010-01-02 22:00:00,二林,16.58,.26,1.84,9.04,10.88,27.3,5,16,0.0,85.03,.3,41.61,41.67,4.2,3.37
2010-01-02 23:00:00,二林,16.5,.28,1.83,7.19,9.02,30.1,4,11,0.0,83.74,.4,47.84,71.94,4.06,2.9
2010-01-03 00:00:00,二林,16.49,.29,1.66,7.97,9.62,26.9,12,6,0.0,82.28,.6,49.51,45.17,3.92,2.47
2010-01-03 01:00:00,二林,16.48,.29,1.55,8.3,9.86,26.7,20,9,0.0,80.24,.7,45,298.95,3.71,2.49
2010-01-03 02:00:00,二林,16.27,.28,1.83,8.59,10.42,26.5,19,12,.4,79.87,.9,47.25,46.84,3.09,2.3
2010-01-03 03:00:00,二林,15.7,.27,.58,9.3,9.88,22,17,12,1.4,83.26,.6,63.84,103.28,.96,2.18
2010-01-03 04:00:00,二林,15.67,.29,.51,8.62,9.13,18.9,18,12,2.4,85.56,.5,114.51,40.34,.56,.79
2010-01-03 05:00:00,二林,15.67,.28,.47,8.17,8.64,19.7,18,13,1.2,86.45,.5,33.05,152.99,3.03,.23
2010-01-03 06:00:00,二林,15.79,.3,.65,10.82,11.46,18.9,16,12,.4,86.9,.7,37,48.09,2.44,1.23
2010-01-03 07:00:00,二林,15.71,.33,.69,8.66,9.36,22.3,13,14,.2,87.01,.5,47.53,82.94,3.55,1.19
2010-01-03 08:00:00,二林,15.42,.3,1.06,12.86,13.91,22.3,21,16,0.0,86.75,1.2,49.17,75.38,4.51,1.19
2010-01-03 09:00:00,二林,16.08,.31,1.62,10,11.62,30.8,23,18,0.0,84.07,1.1,52.25,41.38,5.35,3.28
2010-01-03 10:00:00,二林,17.48,.36,1.78,7.98,9.76,34.9,31,14,0.0,75.91,1.3,44.83,38.67,4.67,4.15
2010-01-03 11:00:00,二林,18.92,.37,2.16,7.98,10.15,36.5,21,12,0.0,71.61,1.7,42.6,45.47,4.13,4.18
2010-01-03 12:00:00,二林,20.17,.39,2.15,8.48,10.62,41.1,29,12,0.0,67.73,2.3,43.71,206.93,3.91,1.33
2010-01-03 13:00:00,二林,20.24,.47,2.8,12.4,15.2,41.5,45,28,0.0,68.39,4.1,312.1,167.35,4.29,.38
2010-01-03 14:00:00,二林,20.49,.5,2.42,13.46,15.88,45.6,73,50,0.0,66.7,4,54.08,44.97,3.81,1.13
2010-01-03 15:00:00,二林,20.18,.53,2.12,14.47,16.59,42.7,100,71,0.0,67.04,4,48.27,222.08,3.92,1.31
2010-01-03 16:00:00,二林,19.12,.59,1.5,17.46,18.97,38.7,121,77,0.0,70.19,5.3,283.52,303.39,3.84,.53
2010-01-03 17:00:00,二林,17.48,.64,.51,17.72,18.23,39.3,143,85,0.0,75.47,5.4,120.58,39.73,2.3,.35
2010-01-03 18:00:00,二林,16.69,.66,.16,17.02,17.18,34.7,157,88,0.0,78.27,4.1,341.86,60.41,2.04,.2
2010-01-03 19:00:00,二林,16.79,.68,.42,20.47,20.89,25.9,158,98,0.0,78.33,3.7,49.66,42.42,1.93,.9
2010-01-03 20:00:00,二林,16.91,.68,.35,26.45,26.79,17.6,161,95,0.0,77.53,3.6,49.33,49.28,2.03,1.23
2010-01-03 21:00:00,二林,16.91,.68,.67,31.05,31.72,11.3,167,103,0.0,77.75,3.3,40.32,45.83,1.31,1.37
2010-01-03 22:00:00,二林,16.9,.7,.8,26.72,27.52,10.7,171,100,0.0,78.91,4.1,76.48,93.49,.8,1
2010-01-03 23:00:00,二林,16.7,.71,.66,19.28,19.94,11.3,160,109,0.0,80.31,3.4,216.29,282.68,.77,.2
2010-01-04 00:00:00,二林,16.2,.7,1.04,19.8,20.85,6.8,152,103,0.0,82.34,2.3,279.49,348.82,.55,.52
2010-01-04 01:00:00,二林,15.88,.7,2.11,21.6,23.71,4.4,142,103,0.0,83.6,1.9,229.85,136.77,.82,.11
2010-01-04 02:00:00,二林,15.7,.71,1.83,19.67,21.5,4.5,146,99,0.0,84.31,1.8,245.61,258.41,.48,.67
2010-01-04 03:00:00,二林,15.47,.71,1.33,16.93,18.26,5.2,142,102,0.0,84.95,1.8,63.57,285.95,.69,.36
2010-01-04 04:00:00,二林,15.49,.7,2.08,15.91,17.98,6.4,143,104,0.0,85.18,2.2,294.13,296.38,.84,.64
2010-01-04 05:00:00,二林,15.56,.64,3.15,15.03,18.18,12#,141,97,0.0,85.53,2,294.34,319.36,1.31,.98
2010-01-04 06:00:00,二林,16.03,.62,.51,12.39,12.9,16.7,148,95,0.0,85.91,1.9,40.31,49.13,1.39,.85
2010-01-04 07:00:00,二林,16.28,.69,1.6,18.16,19.76,14.8,160,98,0.0,86.14,2.2,39.49,35.36,1.41,.94
2010-01-04 08:00:00,二林,17.09,.64,.89,11.37,12.26,32.2,181,103,0.0,85.62,2.8,29.84,19.42,2.67,1
2010-01-04 09:00:00,二林,18.05,.56,.72,9.94,10.66,40.2,185,103,0.0,82.82,4.7,5.63,30.17,2.21,.68
2010-01-04 10:00:00,二林,19.37,.53,1.03,10.18,11.21,45.8,185,105,0.0,76.16,5,336.83,328.53,2.55,1.15
2010-01-04 11:00:00,二林,20.04,.52,.66,9.86,10.52,49.7,170,102,0.0,72.7,4.6,315.04,314.33,2.78,1.52
2010-01-04 12:00:00,二林,20.8,.52,.75,10.37,11.13,55.1,172,104,0.0,70.01,4.7,321.48,306.77,2.87,1.56
2010-01-04 13:00:00,二林,20.73,.51,.63,9.57,10.21,60.3,173,95,0.0,70.1,4.2,310.65,309.29,2.97,2.57
2010-01-04 14:00:00,二林,20.44,.55,.56,9.61,10.17,61.1,175,95,0.0,70.43,4.1,310.44,312.84,2.44,2.24
2010-01-04 15:00:00,二林,19.68,.71,.38,10.83,11.21,59.3,167,95,0.0,71.9,4.7,309.26,310.22,2.54,1.78
2010-01-04 16:00:00,二林,18.9,.65,.28,12.81,13.08,53.5,157,103,0.0,74.3,5.1,339.21,42.8,2.36,.77
2010-01-04 17:00:00,二林,17.86,.61,.05,18.34,18.39,45.1,152,106,0.0,77.9,3.3,17.69,52.39,2.07,.39
2010-01-04 18:00:00,二林,16.97,.6,-.12,13.59,13.47,42.5,150,110,0.0,81.16,2.9,61.9,315.37,1.36,.38
2010-01-04 19:00:00,二林,16.62,.57,-.15,15.94,15.78,34.6,153,104,0.0,82.89,3.2,38.44,63.51,2.11,.33
2010-01-04 20:00:00,二林,16.5,.55,.02,15.58,15.59,33.3,154,97,0.0,83.9,2.9,49.41,36.12,2.51,1.31
2010-01-04 21:00:00,二林,16.56,.57,.25,22.54,22.8,22.9,153,88,0.0,83.91,3.3,62.36,65.85,2.39,1.09
2010-01-04 22:00:00,二林,16.58,.61,.15,22.87,23.02,16.5,152,94,0.0,83.87,3.6,40.8,44.3,2.01,.51
2010-01-04 23:00:00,二林,15.85,.65,.29,24.92,25.21,9,157,98,0.0,84.61,2.3,48.53,32.33,1.59,1.23
2010-01-05 00:00:00,二林,15.61,.66,.25,26.84,27.09,4.9,158,98,0.0,85.47,1.9,35.67,5.52,1.47,.65
2010-01-05 01:00:00,二林,14.69,.66,1.66,25.04,26.7,2.8,151,86,0.0,85.86,1.3,66.78,58.6,1.31,1.07
2010-01-05 02:00:00,二林,14.49,.69,2.36,21.66,24.01,2.7,136,81,0.0,86.84,1.4,40.06,32.65,.85,1.03
2010-01-05 03:00:00,二林,14.42,.68,4.64,21.6,26.25,2.9,133,67,0.0,87.09,1.5,321.15,321.22,1.67,1.18
2010-01-05 04:00:00,二林,14.93,.55,1.21,20.29,21.5,8.9,126,66,0.0,87.37,1.5,44.33,48.29,2.38,.91
2010-01-05 05:00:00,二林,15,.53,1.05,19.52,20.57,9.9,123,60,0.0,87.05,1.6,44.9,61.88,1.26,1.52
2010-01-05 06:00:00,二林,14.83,.59,1.54,17.8,19.34,6.6,123,65,0.0,87.22,1.7,60.02,41.73,1.44,1.78
