datetime,station,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6
2016-11-30 07:00:00,8,15.97,17.14,18.80,18.34,18.98,18.63
2016-11-30 08:00:00,8,20.64,22.14,20.37,20.21,20.57,20.41
2016-11-30 09:00:00,8,18.45,19.18,19.66,20.54,21.41,21.09
2016-11-30 10:00:00,8,15.55,16.51,18.90,19.22,20.13,20.75
2016-11-30 11:00:00,8,11.58,15.40,16.20,15.48,15.91,16.39
2016-11-30 12:00:00,8,10.28,12.41,13.47,14.33,12.05,10.83
2016-11-30 13:00:00,8,6.92,10.84,10.66,7.33,7.01,12.43
2016-11-30 14:00:00,8,6.06,8.64,6.86,6.02,11.26,14.08
2016-11-30 15:00:00,8,2.57,5.18,4.36,7.26,13.20,15.87
2016-11-30 16:00:00,8,6.95,8.53,12.00,15.50,16.19,16.45
2016-11-30 17:00:00,8,6.84,10.86,14.41,15.53,16.49,18.00
2016-11-30 18:00:00,8,6.54,9.71,11.32,11.07,13.39,12.41
2016-11-30 19:00:00,8,8.56,9.37,9.61,11.45,11.57,12.09
2016-11-30 20:00:00,8,6.23,8.43,9.59,10.32,11.71,11.83
2016-11-30 21:00:00,8,3.74,7.82,9.09,10.69,11.82,12.10
2016-11-30 22:00:00,8,7.48,7.91,8.97,10.27,11.95,12.23
2016-11-30 23:00:00,8,8.94,9.15,9.16,10.48,11.30,10.57
2016-12-01 00:00:00,8,11.07,10.52,11.31,10.81,11.02,11.57
2016-12-01 01:00:00,8,8.85,10.08,10.37,9.08,10.31,11.70
2016-12-01 02:00:00,8,9.49,9.72,8.52,9.95,10.42,11.35
2016-12-01 03:00:00,8,9.80,9.10,10.54,10.88,10.53,11.79
2016-12-01 04:00:00,8,11.46,11.07,11.52,12.37,13.23,12.45
2016-12-01 05:00:00,8,13.24,11.86,12.56,13.97,12.36,11.27
2016-12-01 06:00:00,8,12.11,11.98,13.91,12.60,10.91,10.47
2016-12-01 07:00:00,8,10.05,12.28,12.02,11.17,9.35,10.17
2016-12-01 08:00:00,8,9.15,10.47,9.87,8.67,7.23,9.90
2016-12-01 09:00:00,8,12.85,11.35,9.24,9.38,11.59,15.41
2016-12-01 10:00:00,8,11.73,9.70,10.84,12.55,15.93,19.68
2016-12-01 11:00:00,8,6.48,11.04,13.82,17.30,22.54,23.85
2016-12-01 12:00:00,8,6.40,12.71,16.15,19.90,23.58,26.98
2016-12-01 13:00:00,8,10.40,14.49,18.77,21.54,23.33,27.47
2016-12-01 14:00:00,8,16.71,18.67,21.90,23.79,27.27,28.94
2016-12-01 15:00:00,8,18.34,19.85,22.43,24.91,28.05,28.71
2016-12-01 16:00:00,8,24.12,24.68,25.79,25.81,27.68,28.33
2016-12-01 17:00:00,8,29.39,29.48,27.81,27.55,29.08,28.56
2016-12-01 18:00:00,8,27.18,27.45,26.76,24.99,25.62,25.11
2016-12-01 19:00:00,8,30.40,28.59,27.73,27.04,26.46,25.33
2016-12-01 20:00:00,8,28.25,26.99,26.49,25.69,24.77,24.72
2016-12-01 21:00:00,8,26.23,25.56,24.02,22.93,21.45,21.52
2016-12-01 22:00:00,8,23.22,21.64,21.78,19.90,19.54,18.99
2016-12-01 23:00:00,8,27.59,24.41,22.45,22.72,21.10,20.57
2016-12-02 00:00:00,8,29.27,26.41,25.56,24.21,22.31,22.13
