datetime,station,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6
2016-12-01 00:00:00,3,33.03,32.57,29.44,29.43,27.86,28.04
2016-12-01 01:00:00,3,30.12,28.90,29.44,29.49,27.92,28.39
2016-12-01 02:00:00,3,27.76,28.60,27.26,26.84,25.69,26.20
2016-12-01 03:00:00,3,29.50,30.40,30.56,31.41,32.74,34.29
2016-12-01 04:00:00,3,32.37,31.86,31.79,33.04,33.00,36.59
2016-12-01 05:00:00,3,33.72,33.01,34.51,34.67,37.16,39.75
2016-12-01 06:00:00,3,29.76,30.97,32.76,34.34,35.96,42.06
2016-12-01 07:00:00,3,27.15,29.56,32.25,33.97,39.49,42.81
2016-12-01 08:00:00,3,28.34,29.24,32.65,37.76,42.16,44.91
2016-12-01 09:00:00,3,30.34,35.28,37.78,42.01,44.20,47.02
2016-12-01 10:00:00,3,31.86,34.42,40.07,42.41,46.44,48.59
2016-12-01 11:00:00,3,30.87,36.56,40.11,44.39,47.73,44.53
2016-12-01 12:00:00,3,31.75,36.25,41.94,43.80,42.51,38.53
2016-12-01 13:00:00,3,30.98,36.68,39.67,38.29,37.67,32.91
2016-12-01 14:00:00,3,32.58,35.69,35.46,34.13,31.53,29.06
2016-12-01 15:00:00,3,31.31,30.21,29.86,28.00,27.71,26.39
2016-12-01 16:00:00,3,29.31,28.46,27.24,27.21,25.93,26.17
2016-12-01 17:00:00,3,24.92,24.70,24.90,25.00,24.65,24.97
2016-12-01 18:00:00,3,23.13,23.74,23.48,22.89,22.95,23.27
2016-12-01 19:00:00,3,21.61,21.39,21.05,22.32,22.89,22.12
2016-12-01 20:00:00,3,24.05,22.95,23.10,23.18,23.47,24.15
2016-12-01 21:00:00,3,21.09,22.11,22.26,22.53,22.47,21.90
2016-12-01 22:00:00,3,19.86,19.91,19.81,20.07,19.44,20.49
2016-12-01 23:00:00,3,20.41,20.15,20.65,20.34,20.02,21.31
2016-12-02 00:00:00,3,17.05,18.73,18.04,17.88,19.92,19.21
2016-12-02 01:00:00,3,17.48,17.04,17.76,18.10,19.38,18.95
2016-12-02 02:00:00,3,19.65,19.48,20.33,20.84,20.96,22.18
2016-12-02 03:00:00,3,18.88,19.55,20.01,20.07,19.67,21.89
2016-12-02 04:00:00,3,15.20,16.74,17.55,17.49,18.84,21.02
2016-12-02 05:00:00,3,19.08,18.36,18.93,20.01,23.84,29.06
2016-12-02 06:00:00,3,19.24,19.44,20.46,23.58,29.63,35.45
2016-12-02 07:00:00,3,12.55,15.17,16.89,21.59,26.69,29.29
2016-12-02 08:00:00,3,15.50,16.69,21.13,25.11,29.18,30.03
2016-12-02 09:00:00,3,14.37,20.65,23.12,26.35,26.15,27.54
2016-12-02 10:00:00,3,18.49,22.29,26.69,26.44,26.98,30.27
2016-12-02 11:00:00,3,30.22,33.72,32.71,35.28,37.76,42.87
2016-12-02 12:00:00,3,34.49,35.83,36.52,39.65,43.30,42.39
2016-12-02 13:00:00,3,35.53,37.09,40.71,43.26,43.62,41.11
2016-12-02 14:00:00,3,37.63,42.65,43.00,42.43,42.54,38.18
2016-12-02 15:00:00,3,42.40,43.27,43.18,41.39,40.24,38.48
