datetime,station,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6
2016-11-28 17:00:00,7,35.21,35.99,36.95,37.44,38.18,36.81
2016-11-28 18:00:00,7,38.45,38.92,39.44,38.99,38.31,37.57
2016-11-28 19:00:00,7,33.31,34.39,35.21,36.46,34.83,34.95
2016-11-28 20:00:00,7,37.35,36.78,37.58,37.68,35.93,35.36
2016-11-28 21:00:00,7,37.40,36.75,37.23,35.39,34.31,34.12
2016-11-28 22:00:00,7,35.02,34.41,33.56,32.52,31.90,32.11
2016-11-28 23:00:00,7,36.52,36.24,35.53,35.03,35.51,34.83
2016-11-29 00:00:00,7,35.46,35.75,35.19,35.01,35.62,35.27
2016-11-29 01:00:00,7,33.30,33.05,32.56,32.03,33.33,33.49
2016-11-29 02:00:00,7,34.64,33.69,33.92,32.47,33.51,34.77
2016-11-29 03:00:00,7,28.88,29.27,30.27,29.87,31.56,33.65
2016-11-29 04:00:00,7,26.01,26.71,26.81,28.30,31.66,32.26
2016-11-29 05:00:00,7,27.60,27.60,28.74,30.20,31.81,33.60
2016-11-29 06:00:00,7,30.06,30.56,31.99,32.55,34.07,37.02
2016-11-29 07:00:00,7,31.80,33.20,33.47,33.99,35.23,38.01
2016-11-29 08:00:00,7,37.81,39.65,39.08,40.46,41.45,42.83
2016-11-29 09:00:00,7,28.08,30.76,34.23,35.39,38.05,39.66
2016-11-29 10:00:00,7,20.21,24.88,27.67,31.01,33.16,34.84
2016-11-29 11:00:00,7,12.55,17.25,20.94,21.92,23.71,26.10
2016-11-29 12:00:00,7,32.21,32.65,32.18,32.97,33.91,36.46
2016-11-29 13:00:00,7,50.81,49.04,47.26,52.18,51.73,49.17
2016-11-29 14:00:00,7,42.67,43.97,47.05,48.60,48.72,48.74
2016-11-29 15:00:00,7,34.30,38.02,37.93,38.88,39.08,38.89
2016-11-29 16:00:00,7,44.19,42.84,41.17,40.98,42.68,41.51
2016-11-29 17:00:00,7,24.85,27.76,29.74,31.73,31.62,29.18
2016-11-29 18:00:00,7,27.55,28.66,29.04,29.24,29.51,29.22
2016-12-02 02:00:00,7,16.04,17.81,19.24,19.28,21.28,21.94
2016-12-02 03:00:00,7,11.29,13.98,15.24,15.73,17.88,20.42
2016-12-02 04:00:00,7,20.14,19.34,18.97,20.01,22.43,24.78
2016-12-02 05:00:00,7,12.49,14.85,17.05,17.80,20.76,23.32
2016-12-02 06:00:00,7,13.25,14.30,15.64,19.01,20.72,21.81
2016-12-02 07:00:00,7,18.09,19.28,21.61,23.07,24.57,26.50
2016-12-02 08:00:00,7,15.92,18.06,19.66,21.65,24.93,27.21
2016-12-02 09:00:00,7,26.06,27.03,27.28,28.69,29.87,31.04
2016-12-02 10:00:00,7,26.46,29.14,29.93,31.05,32.43,33.68
2016-12-02 11:00:00,7,27.61,29.47,28.90,30.70,32.65,33.24
2016-12-02 12:00:00,7,31.39,32.77,32.95,34.93,36.05,35.72
2016-12-02 13:00:00,7,35.16,36.13,37.51,38.25,37.65,37.20
2016-12-02 14:00:00,7,39.53,39.52,38.57,37.84,37.07,34.91
