datetime,station,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6
2016-12-01 00:00:00,10,21.47,21.28,21.42,21.41,21.54,21.26
2016-12-01 01:00:00,10,23.54,23.17,22.71,22.47,23.37,22.10
2016-12-01 02:00:00,10,26.21,25.47,25.21,24.88,24.85,25.19
2016-12-01 03:00:00,10,24.37,24.81,25.01,24.44,24.20,24.56
2016-12-01 04:00:00,10,20.37,20.45,21.22,21.17,21.28,22.50
2016-12-01 05:00:00,10,19.92,19.87,20.43,21.17,22.09,22.66
2016-12-01 06:00:00,10,25.13,24.36,23.73,23.82,26.53,26.53
2016-12-01 07:00:00,10,20.03,20.81,22.07,24.21,24.71,26.29
2016-12-01 08:00:00,10,27.69,26.98,27.63,28.30,28.24,29.36
2016-12-01 09:00:00,10,25.53,26.92,27.38,27.62,28.59,29.03
2016-12-01 10:00:00,10,34.17,33.22,32.91,31.78,33.22,31.66
2016-12-01 11:00:00,10,34.56,35.52,35.68,33.08,32.34,31.24
2016-12-01 12:00:00,10,26.00,26.99,27.75,27.19,27.26,26.75
2016-12-01 13:00:00,10,29.49,28.97,28.46,27.41,27.86,27.20
2016-12-01 14:00:00,10,23.45,24.39,24.53,24.66,24.65,24.24
2016-12-01 15:00:00,10,29.25,28.37,27.47,26.35,26.67,26.72
2016-12-01 16:00:00,10,20.62,21.66,21.99,21.52,22.93,22.40
2016-12-01 17:00:00,10,16.62,16.86,17.82,18.28,18.77,18.83
2016-12-01 18:00:00,10,19.82,19.42,19.81,19.84,20.12,20.33
2016-12-01 19:00:00,10,24.44,23.53,22.57,21.91,23.16,22.11
2016-12-01 20:00:00,10,24.44,24.36,25.26,24.40,24.04,23.53
2016-12-01 21:00:00,10,24.99,25.19,25.26,24.40,24.19,24.50
2016-12-01 22:00:00,10,24.99,25.19,25.26,24.52,24.47,25.23
2016-12-01 23:00:00,10,20.42,20.81,21.95,21.52,22.86,22.70
2016-12-02 00:00:00,10,22.20,21.36,21.95,21.63,21.23,21.91
2016-12-02 01:00:00,10,22.29,22.87,21.95,21.52,22.42,21.73
2016-12-02 02:00:00,10,18.58,19.09,19.97,19.57,20.69,20.72
2016-12-02 03:00:00,10,18.75,19.20,19.97,20.31,21.38,22.06
2016-12-02 04:00:00,10,18.75,18.75,19.45,19.83,21.79,22.95
2016-12-02 05:00:00,10,18.75,18.85,19.44,20.30,22.09,24.47
2016-12-02 06:00:00,10,20.16,20.24,21.42,23.00,23.44,24.88
2016-12-02 07:00:00,10,23.05,23.42,23.98,25.29,25.76,26.72
2016-12-02 08:00:00,10,24.66,25.98,27.65,27.49,27.27,28.50
2016-12-02 09:00:00,10,28.12,29.81,29.37,29.11,29.94,29.82
2016-12-02 10:00:00,10,35.24,36.46,35.55,34.03,33.45,31.45
2016-12-02 11:00:00,10,33.73,33.88,33.87,33.37,32.82,30.91
