datetime,station,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6
2016-11-30 13:00:00,1,17.40,15.99,14.80,14.67,15.81,13.35
2016-11-30 14:00:00,1,12.77,13.16,14.12,13.74,14.10,12.81
2016-11-30 15:00:00,1,14.23,15.59,14.67,13.51,14.18,14.42
2016-11-30 16:00:00,1,13.26,13.29,13.06,13.25,14.48,13.96
2016-11-30 17:00:00,1,16.96,17.58,15.19,15.93,16.63,15.77
2016-11-30 18:00:00,1,18.59,16.35,16.02,14.18,15.12,14.27
2016-11-30 19:00:00,1,15.78,15.63,15.23,15.41,14.58,13.86
2016-11-30 20:00:00,1,12.80,14.05,14.98,13.64,13.72,13.91
2016-11-30 21:00:00,1,14.81,15.84,14.46,13.52,14.09,14.99
2016-11-30 22:00:00,1,19.59,18.94,15.81,16.60,17.95,17.77
2016-11-30 23:00:00,1,16.26,16.24,16.16,16.79,17.35,17.20
2016-12-01 00:00:00,1,12.66,14.49,16.16,15.58,15.84,14.61
2016-12-01 01:00:00,1,11.98,13.68,15.14,14.69,13.01,14.19
2016-12-01 02:00:00,1,11.80,13.37,15.24,12.41,14.63,13.56
2016-12-01 03:00:00,1,10.56,11.77,12.32,12.33,13.55,13.55
2016-12-01 04:00:00,1,18.03,17.70,15.59,15.39,16.38,16.06
2016-12-01 05:00:00,1,18.33,16.45,17.11,15.26,17.81,17.93
2016-12-01 06:00:00,1,14.77,16.75,16.45,17.22,20.08,20.03
2016-12-01 07:00:00,1,11.20,11.65,15.54,16.49,17.52,18.66
2016-12-01 08:00:00,1,14.37,17.00,17.02,18.39,19.47,19.56
2016-12-01 09:00:00,1,14.43,14.38,17.60,18.35,17.86,18.83
2016-12-01 10:00:00,1,17.22,20.67,20.49,20.47,22.17,20.79
2016-12-01 11:00:00,1,21.24,20.59,20.83,19.96,20.74,18.87
2016-12-01 12:00:00,1,21.32,22.24,22.40,20.81,19.04,19.40
2016-12-01 13:00:00,1,25.31,24.93,23.02,21.47,21.37,19.64
2016-12-01 14:00:00,1,17.88,17.46,17.89,17.42,16.72,17.04
2016-12-01 15:00:00,1,17.43,18.42,18.07,18.11,18.08,17.48
2016-12-01 16:00:00,1,15.42,15.06,16.17,14.91,15.71,15.62
2016-12-01 17:00:00,1,10.73,12.33,14.32,13.99,14.46,14.02
2016-12-01 18:00:00,1,10.56,12.63,13.25,13.32,14.31,14.74
2016-12-01 19:00:00,1,9.99,10.30,11.67,11.82,13.20,13.13
2016-12-01 20:00:00,1,8.96,10.93,11.67,12.56,13.19,13.26
2016-12-01 21:00:00,1,11.92,12.12,12.69,12.67,13.50,13.26
2016-12-01 22:00:00,1,16.26,15.65,14.96,13.83,14.77,14.74
2016-12-01 23:00:00,1,10.38,10.62,12.69,11.93,12.62,13.84
2016-12-02 00:00:00,1,8.99,12.12,12.01,12.67,13.60,14.20
2016-12-02 01:00:00,1,9.94,10.28,11.30,12.03,12.82,13.98
2016-12-02 02:00:00,1,10.41,12.12,12.01,12.03,14.17,15.91
2016-12-02 03:00:00,1,12.09,11.69,11.67,12.31,14.91,16.93
2016-12-02 04:00:00,1,8.26,8.94,10.38,12.24,13.50,14.99
2016-12-02 05:00:00,1,10.59,12.47,13.32,13.87,17.56,19.56
2016-12-02 06:00:00,1,11.80,12.30,14.94,15.31,16.78,19.42
2016-12-02 07:00:00,1,12.40,14.98,16.12,17.17,17.93,19.75
2016-12-02 08:00:00,1,11.01,13.49,16.05,17.34,17.59,18.16
2016-12-02 09:00:00,1,13.01,16.38,16.62,18.04,19.66,20.09
2016-12-02 10:00:00,1,17.37,17.71,18.33,19.78,19.89,19.46
2016-12-02 11:00:00,1,23.44,24.98,22.68,22.84,22.97,22.24
2016-12-02 12:00:00,1,21.41,20.73,21.11,20.40,20.64,19.96
2016-12-02 13:00:00,1,21.71,23.67,21.08,19.93,20.06,19.31
2016-12-02 14:00:00,1,26.76,24.94,21.74,22.35,21.07,19.41
2016-12-02 15:00:00,1,27.71,25.25,24.09,22.23,21.54,21.09
2016-12-02 16:00:00,1,24.65,24.64,22.98,21.71,20.39,20.17
2016-12-02 17:00:00,1,25.52,25.25,22.82,22.57,21.44,21.23
2016-12-02 18:00:00,1,18.69,17.25,18.94,17.76,17.35,17.77
2016-12-02 19:00:00,1,15.25,16.92,17.39,16.18,16.92,17.03
2016-12-02 20:00:00,1,13.94,14.83,14.92,14.84,15.82,15.65
2016-12-02 21:00:00,1,16.87,16.57,15.71,16.18,16.92,16.42
2016-12-02 22:00:00,1,13.39,13.45,15.71,14.84,14.19,15.31
2016-12-02 23:00:00,1,8.31,10.57,13.21,13.93,13.78,14.93
2016-12-03 00:00:00,1,5.23,8.90,12.65,12.23,13.72,14.37
2016-12-03 01:00:00,1,5.37,8.01,11.63,11.88,13.64,14.66
2016-12-03 02:00:00,1,5.80,8.01,11.51,11.00,13.35,15.63
2016-12-03 03:00:00,1,7.16,8.77,10.34,13.41,14.48,15.82
2016-12-03 04:00:00,1,10.08,10.57,11.57,13.44,14.51,16.24
2016-12-03 05:00:00,1,7.14,8.42,11.75,11.92,15.17,16.84
2016-12-03 06:00:00,1,10.08,13.03,12.85,14.81,15.97,18.11
2016-12-03 07:00:00,1,10.98,11.51,12.95,13.77,14.57,17.70
2016-12-03 08:00:00,1,12.73,15.29,15.46,17.34,18.55,17.79
2016-12-03 09:00:00,1,12.52,13.21,15.83,16.91,17.01,18.22
2016-12-03 10:00:00,1,12.73,15.32,16.08,16.04,16.12,13.92
2016-12-03 11:00:00,1,18.72,19.18,15.86,15.61,15.38,14.90
2016-12-03 12:00:00,1,14.54,14.40,14.73,13.15,14.56,14.26
2016-12-03 13:00:00,1,15.12,16.11,13.59,13.32,14.42,13.81
2016-12-03 14:00:00,1,17.69,15.12,13.19,12.76,13.33,12.80
2016-12-03 15:00:00,1,15.58,14.99,14.45,13.21,14.10,14.56
2016-12-03 16:00:00,1,15.72,15.37,14.45,13.60,15.29,14.29
2016-12-03 17:00:00,1,13.80,13.70,12.94,14.35,14.73,15.31
2016-12-03 18:00:00,1,9.83,11.21,12.93,13.19,14.01,14.42
2016-12-03 19:00:00,1,12.75,14.29,13.65,14.26,15.85,18.41
2016-12-03 20:00:00,1,12.76,12.61,14.65,14.48,17.81,19.78
2016-12-03 21:00:00,1,14.03,15.77,14.52,18.24,18.71,17.78
2016-12-03 22:00:00,1,9.57,11.32,15.87,17.02,15.75,18.33
2016-12-03 23:00:00,1,10.79,13.98,16.37,15.76,18.44,18.10
2016-12-04 00:00:00,1,12.41,12.43,15.23,16.38,15.46,20.13
