datetime,station,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6
2016-11-30 16:00:00,4,21.14,20.57,19.88,19.77,18.72,19.95
2016-11-30 17:00:00,4,18.58,18.46,18.41,17.93,18.61,19.10
2016-11-30 18:00:00,4,21.25,21.40,19.37,19.82,19.64,19.82
2016-11-30 19:00:00,4,22.03,21.05,20.72,20.39,21.03,20.38
2016-11-30 20:00:00,4,18.34,17.67,18.82,18.04,18.75,19.19
2016-11-30 21:00:00,4,20.33,21.73,19.38,19.81,19.50,20.84
2016-11-30 22:00:00,4,23.51,21.51,20.86,21.05,21.15,21.65
2016-11-30 23:00:00,4,19.34,18.09,18.83,19.11,19.21,19.56
2016-12-01 00:00:00,4,19.75,20.34,20.12,19.95,19.48,20.00
2016-12-01 01:00:00,4,22.60,23.47,21.55,22.01,19.53,19.67
2016-12-01 02:00:00,4,22.62,21.60,19.98,19.49,18.33,19.16
2016-12-01 03:00:00,4,21.78,20.98,19.15,19.29,19.17,19.67
2016-12-01 04:00:00,4,21.49,21.05,19.26,19.31,19.79,20.40
2016-12-01 05:00:00,4,17.48,16.32,17.69,17.92,17.95,18.98
2016-12-01 06:00:00,4,18.40,20.12,19.52,19.42,20.84,22.20
2016-12-01 07:00:00,4,18.19,17.17,19.18,20.44,20.77,22.73
2016-12-01 08:00:00,4,20.05,21.58,21.48,21.77,22.96,24.16
2016-12-01 09:00:00,4,22.88,22.38,22.69,23.06,23.97,24.31
2016-12-01 10:00:00,4,28.03,29.54,27.82,28.62,28.85,27.97
2016-12-01 11:00:00,4,25.71,23.80,25.92,26.52,26.47,27.59
2016-12-01 12:00:00,4,31.11,34.48,29.92,30.59,30.24,31.16
2016-12-01 13:00:00,4,27.29,22.91,25.34,25.44,24.78,26.18
2016-12-01 14:00:00,4,23.37,25.58,26.04,25.53,25.02,24.68
2016-12-01 15:00:00,4,21.46,20.47,21.61,21.64,21.81,21.42
2016-12-01 16:00:00,4,17.25,18.35,20.05,20.01,20.12,19.81
2016-12-01 17:00:00,4,14.09,14.43,16.99,17.53,16.68,17.45
2016-12-01 18:00:00,4,11.46,13.69,14.93,16.01,15.72,16.78
2016-12-01 19:00:00,4,11.27,12.19,14.19,13.75,14.40,14.78
2016-12-01 20:00:00,4,15.70,17.27,16.30,16.12,16.26,17.52
2016-12-01 21:00:00,4,16.20,14.90,16.15,15.57,17.44,18.34
2016-12-01 22:00:00,4,10.68,12.41,14.08,15.01,15.50,16.19
2016-12-01 23:00:00,4,9.20,11.14,14.34,13.37,13.68,13.62
2016-12-02 00:00:00,4,9.84,10.80,12.58,12.77,12.91,12.58
2016-12-02 01:00:00,4,10.55,11.55,12.68,12.39,13.02,13.25
2016-12-02 02:00:00,4,13.11,13.44,13.09,13.94,13.85,14.64
2016-12-02 03:00:00,4,12.24,11.25,12.99,13.28,14.00,15.67
2016-12-02 04:00:00,4,7.57,9.81,11.93,11.00,13.42,14.97
2016-12-02 05:00:00,4,6.55,8.50,9.52,11.74,13.76,14.37
2016-12-02 06:00:00,4,7.72,10.05,12.56,13.69,13.77,14.12
2016-12-02 07:00:00,4,7.89,10.49,12.29,12.85,13.20,14.87
2016-12-02 08:00:00,4,8.60,11.26,13.40,14.16,14.52,15.69
2016-12-02 09:00:00,4,13.90,15.87,16.27,16.24,16.75,19.81
2016-12-02 10:00:00,4,19.39,19.66,17.83,18.98,21.09,23.29
2016-12-02 11:00:00,4,20.59,19.58,19.14,22.07,22.62,23.48
2016-12-02 12:00:00,4,16.03,14.15,18.43,19.36,20.54,21.24
2016-12-02 13:00:00,4,29.22,34.48,28.01,28.19,24.58,26.08
2016-12-02 14:00:00,4,39.68,38.03,34.09,33.25,31.52,30.61
2016-12-02 15:00:00,4,32.55,31.48,31.84,30.61,30.67,29.20
2016-12-02 16:00:00,4,18.78,17.48,21.00,20.50,20.97,19.91
2016-12-02 17:00:00,4,20.18,21.14,21.10,20.57,19.91,18.79
2016-12-02 18:00:00,4,20.18,18.65,19.70,19.63,17.63,17.49
2016-12-02 19:00:00,4,17.77,20.46,20.44,19.93,19.34,19.54
2016-12-02 20:00:00,4,18.78,17.22,17.93,17.02,16.84,17.45
2016-12-02 21:00:00,4,13.97,13.87,15.37,14.86,14.62,15.60
2016-12-02 22:00:00,4,12.03,13.29,14.66,15.05,15.10,15.83
2016-12-02 23:00:00,4,13.57,14.57,14.51,15.20,14.11,14.96
2016-12-03 00:00:00,4,12.00,12.49,13.25,13.61,13.18,13.24
2016-12-03 01:00:00,4,5.83,7.23,10.35,10.87,10.90,11.71
2016-12-03 02:00:00,4,4.84,7.00,9.26,8.66,9.39,10.31
2016-12-03 03:00:00,4,6.26,8.32,9.25,9.69,10.24,12.45
2016-12-03 04:00:00,4,6.87,6.78,7.92,9.67,12.05,13.05
2016-12-03 05:00:00,4,5.21,6.57,8.65,10.55,12.49,14.66
2016-12-03 06:00:00,4,8.22,10.36,10.99,12.99,15.17,16.19
2016-12-03 07:00:00,4,10.64,11.17,13.14,14.43,16.05,17.91
2016-12-03 08:00:00,4,13.79,16.75,16.08,17.36,18.10,20.29
2016-12-03 09:00:00,4,12.74,12.07,14.55,15.52,17.01,18.45
2016-12-03 10:00:00,4,20.94,23.57,19.62,19.34,21.53,21.63
2016-12-03 11:00:00,4,26.15,23.76,22.35,22.77,21.84,20.84
2016-12-03 12:00:00,4,18.26,17.94,20.56,20.70,18.20,19.47
2016-12-03 13:00:00,4,20.64,22.13,20.17,19.55,19.84,22.24
2016-12-03 14:00:00,4,29.37,29.67,25.57,25.47,24.73,24.84
2016-12-03 15:00:00,4,25.35,21.79,24.24,22.97,21.68,21.83
2016-12-03 16:00:00,4,19.65,20.04,20.52,20.19,20.14,19.87
